,video_format,tag_genre,session_count
0,svod,series,8325977
1,preview,divertissement,8036998
2,preview,series,7354818
3,replay,series,1506357
4,replay,divertissement,1279330
5,freevod,series,673298
6,svod,jeunesse,473523
7,live,,459826
8,freevod,divertissement,356194
9,live,divertissement,319264
10,svod,films,305812
11,svod,telefilms,301898
12,live,series,275387
13,live,infos,206165
14,replay,magazine,187388
15,freevod,jeunesse,156181
16,replay,jeunesse,152196
17,live,magazine,150982
18,svod,documentaire,145466
19,replay,infos,119288
20,live,jeunesse,72823
21,replay,telefilms,69921
22,replay,documentaire,69555
23,freevod,magazine,62828
24,freevod,documentaire,54044
25,preview,telefilms,46928
26,replay,films,36364
27,live,sport,29639
28,live,telefilms,24919
29,freevod,telefilms,23252
30,live,documentaire,21100
31,live,films,15022
32,preview,,11782
33,svod,divertissement,8437
34,replay,sport,5004
35,replay,,4781
36,freevod,,2163
37,preview,magazine,1858
38,preview,documentaire,1679
39,freevod,infos,1488
40,freevod,sport,700
41,preview,infos,602
42,freevod,films,382
43,preview,films,212
44,preview,jeunesse,166
