program_id,title,tag_genre,tag_sous_genre,mean_age,count_episodes,mean_episode_duration,count_profile_adult,count_profile_kid,count_profile_home,count_profile_f,count_profile_m,count_profile_like,count_profile_not_like,count_profile_view,program_seconds_duration,total_seconds_viewed,seconds_viewed_liked,seconds_viewed_not_like,program_description,ratio_liked
50753,Les Marseillais,divertissement,telerealite,26.0,51.0,2633.29,120665,7,8145,80654,30624,97928,31591,129519,134298.0,5800853701.0,5655516851.0,145336850.0,"Pour cette nouvelle saison, la grande famille des Marseillais se retrouve à Dubaï, plus en forme que jamais ! Véritable mirage au cœur du désert, avec ses plages de rêve et ses paysages des mille et une nuits, Dubaï la magnifique n'a pas fini de les surprendre !
Et si, ici, tout est possible, plus que jamais Julien, Manon, Jessica, Thibault, Carla, Kevin, Paga, Greg, Maeva, Benji, Océane et Victoria vont devoir redoubler d'efforts pour affronter les épreuves qui les attendent.",75.61
50636,La Villa des Cœurs Brisés,divertissement,telerealite,27.0,56.0,2681.75,71056,4,4313,51058,14517,56851,18957,75808,150178.0,3652002932.0,3568976339.0,83026593.0,"Depuis 5 saisons déjà, des cœurs brisés s’envolent aux quatre coins du monde : Mexique, République Dominicaine ou Saint-Martin. Accompagnés par Lucie Mariotti, la célèbre love coach, des anciens candidats de télé-réalité, déçus en amour vont tenter de résoudre leurs problématiques amoureuses, plus complexe les unes que les autres. Chaque semaine, ils suivent les coachings de Lucie et rencontrent des prétendants venus spécialement pour eux",74.99
47981,Ici tout commence,series,feuilleton,35.0,65.0,1689.69,65259,3,3651,44706,15504,56138,13164,69302,109830.0,2764460497.0,2723783535.0,40676962.0,"L’institut Auguste Armand est l’une des meilleures écoles de cuisine de France. Excellence, rigueur et discipline sont de mise dans cet établissement géré par une équipe de professionnels talentueux, reconnus et respectés, avec à sa tête Louis Armand, son fondateur, et sa famille. Un lieu clos qui va être le théâtre d’histoires d’amour contrariées et complexes, mais aussi de rivalités et de trahisons.",81.0
46079,Clem,series,comedie-dramatique,31.0,12.0,3207.17,61041,1,2353,46238,10531,37886,25626,63512,38486.0,881251793.0,722025476.0,159226317.0,"Clem se réveille après avoir passé 6 ans dans le coma. Tout a changé, Valentin est devenu un ado et Emma ne reconnaît pas sa mère",59.65
49623,Demain nous appartient,series,feuilleton,37.0,65.0,1818.31,45028,1,2601,31267,10313,36355,11521,47876,118190.0,1787643783.0,1750851236.0,36792547.0,"La série ""Demain nous appartient"" se déroule à Sète, une ville au bord de la mer Méditerranée.  Vous allez pouvoir suivre le quotidien de plusieurs familles et habitants de cette ville, où se mêlent des histoires d’amour et d’amitié mais aussi des mensonges, des trahisons ou encore des lourds secrets de famille… Pour cette nouvelle intrigue, Karim doit faire face à un dilemme inextricable.  La couverture qu'il avait mis en place pour protéger Chemsa vole en éclats. Les frères de cette dernière…",75.94
50991,Gloria,series,"drame,thriller-suspense",42.0,6.0,3042.83,49582,1,1373,34136,11407,33170,17895,51065,18257.0,717548663.0,617610329.0,99938334.0,"Une petite ville bretonne, au bord de l’eau. Une communauté soudée où tout le monde se connait. Gloria Meyers, une femme avocate, mère de trois enfants en congé maternité, voit son quotidien voler en éclats lorsque son mari disparaît du jour au lendemain, sans explication",64.96
51300,Le remplaçant,series,comedie-dramatique,37.0,2.0,2754.5,36601,1,942,23482,10280,31090,6527,37617,5509.0,200330005.0,186532034.0,13797971.0,"Nicolas Valeyre est un prof de français original et sans complaisance, que ce soit à l'égard de ses collègues ou de ses élèves. Ses méthodes fantaisistes, sa misanthropie affichée et son style brut de décoffrage en font un OVNI dans la salle des profs. Mais il dérange autant sa hiérarchie qu'il inspire naturellement confiance à ses élèves... Sous ses dehors d’ours mal léché, c’est un hypersensible passionné, prêt à tout pour les aider à trouver leur voie.",82.65
51581,HPI,series,"comedie,policier",40.0,9.0,3050.11,45200,1,1360,28725,12491,30861,15761,46622,27451.0,886056720.0,791843421.0,94213299.0,"Morgane, 38 ans, 3 enfants, 2 ex, 5 crédits, 160 de QI et une bonne dose d’insoumission, va voir son destin de femme de ménage chamboulé lorsque ses capacités hors norme sont repérées par la police qui lui propose un poste de consultante… Problème : Morgane déteste les flics",66.19
51007,Mariés au premier regard,divertissement,telerealite,33.0,10.0,6733.2,65026,1,2186,46240,13945,23890,43527,67417,67332.0,1542606638.0,1072838139.0,469768499.0,"Retrouvez le dernier épisode en direct sur M6 le lundi 17 mai
Mariés au premier regard est de retour pour une cinquième saison pleine de surprises et de nouveautés. Les deux experts, Estelle Dossin et Pascal De Sutter, ont analysé les profils de célibataires motivés à rencontrer l'âme sœur et leur ont fait passer une série de tests afin de leur trouver un ou une partenaire compatible.",35.44
47058,Plus belle la vie,series,feuilleton,34.0,65.0,1515.18,25320,0,1142,17418,6170,17297,9291,26588,98487.0,657591755.0,635566490.0,22025265.0,"Derrière son comptoir, Roland Marci, tenancier du bar du Mistral, voit vivre ce petit monde, dans un heureux métissage des cultures et des milieux. Les grands comme les petits mouvements qui affectent la société française y trouvent leur écho. Des passions se nouent et se dénouent. Des crimes sont commis",65.06
50580,La traque,telefilms,"drame,judiciaire",37.0,2.0,2698.5,15967,2,418,10399,4388,13049,3386,16435,5397.0,85701028.0,79026124.0,6674904.0,"Le 26 juin 2003, Michel Fourniret est arrêté pour tentative d’enlèvement sur mineure. Il ne risque, au mieux, que quelques mois de prison. Pourtant les policiers sont convaincus d'avoir affaire à un tueur en série. Mais ils n'ont aucune preuve... Le compte à rebours commence et s’engage alors une véritable traque psychologique",79.4
51526,L'école de la vie,series,comedie-dramatique,40.0,6.0,3163.83,20311,0,394,14327,4224,11858,8887,20745,18983.0,283750991.0,236968874.0,46782117.0,"Vincent enseigne l’Histoire-géo mais l’arrivée de son premier enfant le pousse à revoir ses priorités. Avec sa compagne, ils projettent de déménager en bord de mer pour vivre leur nouvelle vie. Mais rien ne va se passer comme prévu...
Malgré le drame qu'il traverse, Vincent poursuit son métier sans rien laisser paraître et fait tout pour ne pas sombrer. Ses élèves restent sa priorité et sa nouvelle vie le pousse à s’intéresser davantage à leur vie privée. Il découvre alors des cas difficiles",57.16
46073,Grey's Anatomy,series,"comedie-dramatique,medical",31.0,363.0,2471.58,14977,0,431,11633,2182,9589,5868,15457,897182.0,1390962856.0,1373454488.0,17508368.0,"Chronique du Seattle Grace Hospital. Le titre fait référence à Meredith Grey, interne en médecine, qui a un lien plus ou moins direct avec tous les personnages principaux.",62.04
46466,La stagiaire,series,"comedie-dramatique,judiciaire",43.0,45.0,2990.33,15263,1,335,10565,3297,9285,6349,15634,134565.0,515667737.0,487323636.0,28344101.0,"Constance Meyer (Michèle Bernier) est une stagiaire atypique. À cinquante ans, cette mère de famille et ex-détenue suite à une erreur judiciaire, est étudiante à l’École Nationale de la Magistrature",59.39
50775,Familles nombreuses : la vie en XXL,divertissement,telerealite,31.0,53.0,1678.09,13999,2,599,10567,2404,8304,6374,14678,88939.0,281259621.0,264149965.0,17109656.0,"Au départ ils avaient 1 enfant, puis un 2ème, un 3ème et la famille n’a cessé de s’agrandir … Jusqu’à 9 enfants aujourd’hui pour certaines familles ! Pendant plusieurs mois et aux 4 coins de la France, partez à la découverte de la vie quotidienne hors du commun de 7 familles nombreuses où les joies, les peines, les courses, les cris et surtout l’amour… sont XXL.",56.57
49591,Mamans et célèbres,divertissement,docurealite,28.0,119.0,2757.87,17542,4,635,13852,2419,8277,10033,18310,328186.0,421674893.0,383101679.0,38573214.0,"Elles sont 10, elles sont célèbres, elles sont stars des réseaux sociaux. On les a connues candidates de télé-réalité, elles sont aujourd'hui devenues influenceuses mais avant tout mamans. Et pour la première fois, elles nous ouvrent les portes de leur quotidien pour découvrir les coulisses de leur vie de stars mais aussi leur vie de mamans !",45.2
46814,All American,series,"drame,teen",30.0,43.0,2434.23,12503,1,736,7348,4116,8265,5032,13297,104672.0,452695496.0,432145607.0,20549889.0,"Spencer James, un jeune athlète issu des quartiers difficiles de la banlieue de Los Angeles, est recruté par le prestigieux Beverly Hills High, afin qu'il rejoigne l'équipe de football américain du lycée. Tout en tentant de s'adapter à ce nouvel environnement très aisé, au sein duquel il n'est pas forcément le bienvenu, Spencer débute alors une nouvelle vie, qui le mènera petit à petit vers son rêve : devenir footballeur professionnel",62.16
50877,The Grave,series,"drame,thriller-suspense",46.0,8.0,2872.25,15515,1,413,9489,4710,8158,7804,15962,22978.0,219224577.0,188164901.0,31059676.0,"Suite à un tremblement de terre, trois squelettes humains sont découverts au fond d'une fosse. L’identité des victimes est troublante : elles sont encore en vie et semblent ne rien comprendre elles non plus à cette histoire… D’autres éléments troublants ne font qu’épaissir le mystère. Dédoublement de personnalités ? Trou dans l’espace-temps ? Ou tout simplement tour de passe-passe particulièrement élaboré ? Et si le gouvernement lui-même était mêlé à cette affaire paranormale",51.11
47880,Desperate Housewives,series,"comedie-dramatique,romance",29.0,180.0,2473.89,10740,0,331,7999,1894,7659,3456,11115,445301.0,1141303032.0,1129810660.0,11492372.0,"Nommé trente fois aux Emmy Awards, dont onze fois pour la première saison en 2005, ""Desperate Housewives"" est l'une des séries phares de la deuxième partie des années 2000. Quatre voisines, résidant dans une rue typique de la banlieue américaine, Wisteria Lane, traversent, chacune à sa façon, les heurs et malheurs de la vie de famille, alors que chaque nouvelle saison invite dans le quartier des personnages douteux et de douloureuses énigmes criminelles .",68.91
50997,Les rivières pourpres,series,"policier,thriller-suspense",48.0,16.0,2902.13,12708,1,288,7111,4444,7442,5585,13027,46434.0,230928140.0,204216204.0,26711936.0,"Le commissaire Pierre Niémans et le lieutenant Camille Delaunay, plus soudés que jamais après une série d’enquêtes sombres, complexes et nerveuses, sont une nouvelle fois appelés aux quatre coins de la France. Explosif et inséparable, ce tandem de choc plongera dans des univers inédits, qui réveilleront chez eux de douloureux secrets, qu’ils pensaient enterrés à jamais. Des corps cousus entre eux retrouvés au sein d’un festival néopaïen dans les montagnes, ...",57.13
47527,Ils étaient dix,series,"drame,policier",42.0,6.0,3029.17,11398,1,341,7027,3427,7364,4400,11764,18175.0,157549149.0,142007260.0,15541889.0,"Dix personnes, cinq femmes et cinq hommes, sont invitées sur une île déserte qui abrite un hôtel de luxe. Ils vont très vite réaliser qu’ils sont coupés du reste du monde. Pourquoi ont-ils été attirés dans ce piège ? Chacun a commis un meurtre. Mais aujourd’hui, sous le soleil brûlant de l’île, ils vont devoir payer pour leurs crimes.",62.6
