program_id,title,program_description,cleaned_description
50753,Les Marseillais,"Pour cette nouvelle saison, la grande famille des Marseillais se retrouve à Dubaï, plus en forme que jamais ! Véritable mirage au cœur du désert, avec ses plages de rêve et ses paysages des mille et une nuits, Dubaï la magnifique n'a pas fini de les surprendre !
Et si, ici, tout est possible, plus que jamais Julien, Manon, Jessica, Thibault, Carla, Kevin, Paga, Greg, Maeva, Benji, Océane et Victoria vont devoir redoubler d'efforts pour affronter les épreuves qui les attendent.","pour cette nouvelle saison, la grande famille des marseillais se retrouve à dubaï, plus en forme que jamais ! véritable mirage au cœur du désert, avec ses plages de rêve et ses paysages des mille et une nuits, dubaï la magnifique n'a pas fini de les surprendre !
et si, ici, tout est possible, plus que jamais julien, manon, jessica, thibault, carla, kevin, paga, greg, maeva, benji, océane et victoria vont devoir redoubler d'efforts pour affronter les épreuves qui les attendent."
50636,La Villa des Cœurs Brisés,"Depuis 5 saisons déjà, des cœurs brisés s’envolent aux quatre coins du monde : Mexique, République Dominicaine ou Saint-Martin. Accompagnés par Lucie Mariotti, la célèbre love coach, des anciens candidats de télé-réalité, déçus en amour vont tenter de résoudre leurs problématiques amoureuses, plus complexe les unes que les autres. Chaque semaine, ils suivent les coachings de Lucie et rencontrent des prétendants venus spécialement pour eux","depuis 5 saisons déjà, des cœurs brisés s’envolent aux quatre coins du monde : mexique, république dominicaine ou saint-martin. accompagnés par lucie mariotti, la célèbre love coach, des anciens candidats de télé-réalité, déçus en amour vont tenter de résoudre leurs problématiques amoureuses, plus complexe les unes que les autres. chaque semaine, ils suivent les coachings de lucie et rencontrent des prétendants venus spécialement pour eux"
47981,Ici tout commence,"L’institut Auguste Armand est l’une des meilleures écoles de cuisine de France. Excellence, rigueur et discipline sont de mise dans cet établissement géré par une équipe de professionnels talentueux, reconnus et respectés, avec à sa tête Louis Armand, son fondateur, et sa famille. Un lieu clos qui va être le théâtre d’histoires d’amour contrariées et complexes, mais aussi de rivalités et de trahisons.","l’institut auguste armand est l’une des meilleures écoles de cuisine de france. excellence, rigueur et discipline sont de mise dans cet établissement géré par une équipe de professionnels talentueux, reconnus et respectés, avec à sa tête louis armand, son fondateur, et sa famille. un lieu clos qui va être le théâtre d’histoires d’amour contrariées et complexes, mais aussi de rivalités et de trahisons."
46079,Clem,"Clem se réveille après avoir passé 6 ans dans le coma. Tout a changé, Valentin est devenu un ado et Emma ne reconnaît pas sa mère","clem se réveille après avoir passé 6 ans dans le coma. tout a changé, valentin est devenu un ado et emma ne reconnaît pas sa mère"
49623,Demain nous appartient,"La série ""Demain nous appartient"" se déroule à Sète, une ville au bord de la mer Méditerranée.  Vous allez pouvoir suivre le quotidien de plusieurs familles et habitants de cette ville, où se mêlent des histoires d’amour et d’amitié mais aussi des mensonges, des trahisons ou encore des lourds secrets de famille… Pour cette nouvelle intrigue, Karim doit faire face à un dilemme inextricable.  La couverture qu'il avait mis en place pour protéger Chemsa vole en éclats. Les frères de cette dernière…","la série ""demain nous appartient"" se déroule à sète, une ville au bord de la mer méditerranée.  vous allez pouvoir suivre le quotidien de plusieurs familles et habitants de cette ville, où se mêlent des histoires d’amour et d’amitié mais aussi des mensonges, des trahisons ou encore des lourds secrets de famille… pour cette nouvelle intrigue, karim doit faire face à un dilemme inextricable.  la couverture qu'il avait mis en place pour protéger chemsa vole en éclats. les frères de cette dernière…"
50991,Gloria,"Une petite ville bretonne, au bord de l’eau. Une communauté soudée où tout le monde se connait. Gloria Meyers, une femme avocate, mère de trois enfants en congé maternité, voit son quotidien voler en éclats lorsque son mari disparaît du jour au lendemain, sans explication","une petite ville bretonne, au bord de l’eau. une communauté soudée où tout le monde se connait. gloria meyers, une femme avocate, mère de trois enfants en congé maternité, voit son quotidien voler en éclats lorsque son mari disparaît du jour au lendemain, sans explication"
51300,Le remplaçant,"Nicolas Valeyre est un prof de français original et sans complaisance, que ce soit à l'égard de ses collègues ou de ses élèves. Ses méthodes fantaisistes, sa misanthropie affichée et son style brut de décoffrage en font un OVNI dans la salle des profs. Mais il dérange autant sa hiérarchie qu'il inspire naturellement confiance à ses élèves... Sous ses dehors d’ours mal léché, c’est un hypersensible passionné, prêt à tout pour les aider à trouver leur voie.","nicolas valeyre est un prof de français original et sans complaisance, que ce soit à l'égard de ses collègues ou de ses élèves. ses méthodes fantaisistes, sa misanthropie affichée et son style brut de décoffrage en font un ovni dans la salle des profs. mais il dérange autant sa hiérarchie qu'il inspire naturellement confiance à ses élèves... sous ses dehors d’ours mal léché, c’est un hypersensible passionné, prêt à tout pour les aider à trouver leur voie."
51581,HPI,"Morgane, 38 ans, 3 enfants, 2 ex, 5 crédits, 160 de QI et une bonne dose d’insoumission, va voir son destin de femme de ménage chamboulé lorsque ses capacités hors norme sont repérées par la police qui lui propose un poste de consultante… Problème : Morgane déteste les flics","morgane, 38 ans, 3 enfants, 2 ex, 5 crédits, 160 de qi et une bonne dose d’insoumission, va voir son destin de femme de ménage chamboulé lorsque ses capacités hors norme sont repérées par la police qui lui propose un poste de consultante… problème : morgane déteste les flics"
51007,Mariés au premier regard,"Retrouvez le dernier épisode en direct sur M6 le lundi 17 mai
Mariés au premier regard est de retour pour une cinquième saison pleine de surprises et de nouveautés. Les deux experts, Estelle Dossin et Pascal De Sutter, ont analysé les profils de célibataires motivés à rencontrer l'âme sœur et leur ont fait passer une série de tests afin de leur trouver un ou une partenaire compatible.","retrouvez le dernier épisode en direct sur m6 le lundi 17 mai
mariés au premier regard est de retour pour une cinquième saison pleine de surprises et de nouveautés. les deux experts, estelle dossin et pascal de sutter, ont analysé les profils de célibataires motivés à rencontrer l'âme sœur et leur ont fait passer une série de tests afin de leur trouver un ou une partenaire compatible."
47058,Plus belle la vie,"Derrière son comptoir, Roland Marci, tenancier du bar du Mistral, voit vivre ce petit monde, dans un heureux métissage des cultures et des milieux. Les grands comme les petits mouvements qui affectent la société française y trouvent leur écho. Des passions se nouent et se dénouent. Des crimes sont commis","derrière son comptoir, roland marci, tenancier du bar du mistral, voit vivre ce petit monde, dans un heureux métissage des cultures et des milieux. les grands comme les petits mouvements qui affectent la société française y trouvent leur écho. des passions se nouent et se dénouent. des crimes sont commis"
